Album Name	Artist	Genre	Track #	Track Title (DISTROKID)	Variant	Duration	Local MP3 Path	Drive Path	Cover
TheLoFi Collection	TheLoFi	Lo-Fi Hip-Hop	10	Skylight Pages	Part II	145.8s	/workspace/distrokid/albums/thelofi/tracks/10 - Skylight Pages (Part II).mp3 [OK]	Drive/LoFi Music Hub/TheLoFi/TheLoFi Master Album/tracks/10 - Skylight Pages (Part II).mp3	Drive/LoFi Music Hub/TheLoFi/TheLoFi Master Album/cover.jpg
TheLoFi Collection	TheLoFi	Lo-Fi Hip-Hop	11	Dusty Margins	Part I	153.0s	/workspace/distrokid/albums/thelofi/tracks/11 - Dusty Margins (Part I).mp3 [OK]	Drive/LoFi Music Hub/TheLoFi/TheLoFi Master Album/tracks/11 - Dusty Margins (Part I).mp3	Drive/LoFi Music Hub/TheLoFi/TheLoFi Master Album/cover.jpg
TheLoFi Collection	TheLoFi	Lo-Fi Hip-Hop	12	Dusty Margins	Part II	122.7s	/workspace/distrokid/albums/thelofi/tracks/12 - Dusty Margins (Part II).mp3 [OK]	Drive/LoFi Music Hub/TheLoFi/TheLoFi Master Album/tracks/12 - Dusty Margins (Part II).mp3	Drive/LoFi Music Hub/TheLoFi/TheLoFi Master Album/cover.jpg
TheLoFi Collection	TheLoFi	Lo-Fi Hip-Hop	13	Golden Overlook	Part I	87.5s	/workspace/distrokid/albums/thelofi/tracks/13 - Golden Overlook (Part I).mp3 [OK]	Drive/LoFi Music Hub/TheLoFi/TheLoFi Master Album/tracks/13 - Golden Overlook (Part I).mp3	Drive/LoFi Music Hub/TheLoFi/TheLoFi Master Album/cover.jpg
TheLoFi Collection	TheLoFi	Lo-Fi Hip-Hop	14	Golden Overlook	Part II	77.8s	/workspace/distrokid/albums/thelofi/tracks/14 - Golden Overlook (Part II).mp3 [OK]	Drive/LoFi Music Hub/TheLoFi/TheLoFi Master Album/tracks/14 - Golden Overlook (Part II).mp3	Drive/LoFi Music Hub/TheLoFi/TheLoFi Master Album/cover.jpg
TheLoFi Collection	TheLoFi	Lo-Fi Hip-Hop	15	Lantern Drift	Part I	127.4s	/workspace/distrokid/albums/thelofi/tracks/15 - Lantern Drift (Part I).mp3 [OK]	Drive/LoFi Music Hub/TheLoFi/TheLoFi Master Album/tracks/15 - Lantern Drift (Part I).mp3	Drive/LoFi Music Hub/TheLoFi/TheLoFi Master Album/cover.jpg
TheLoFi Collection	TheLoFi	Lo-Fi Hip-Hop	16	Lantern Drift	Part II	141.7s	/workspace/distrokid/albums/thelofi/tracks/16 - Lantern Drift (Part II).mp3 [OK]	Drive/LoFi Music Hub/TheLoFi/TheLoFi Master Album/tracks/16 - Lantern Drift (Part II).mp3	Drive/LoFi Music Hub/TheLoFi/TheLoFi Master Album/cover.jpg
TheLoFi Collection	TheLoFi	Lo-Fi Hip-Hop	17	Paper Lanterns	Part I	118.5s	/workspace/distrokid/albums/thelofi/tracks/17 - Paper Lanterns (Part I).mp3 [OK]	Drive/LoFi Music Hub/TheLoFi/TheLoFi Master Album/tracks/17 - Paper Lanterns (Part I).mp3	Drive/LoFi Music Hub/TheLoFi/TheLoFi Master Album/cover.jpg
TheLoFi Collection	TheLoFi	Lo-Fi Hip-Hop	18	Paper Lanterns	Part II	149.6s	/workspace/distrokid/albums/thelofi/tracks/18 - Paper Lanterns (Part II).mp3 [OK]	Drive/LoFi Music Hub/TheLoFi/TheLoFi Master Album/tracks/18 - Paper Lanterns (Part II).mp3	Drive/LoFi Music Hub/TheLoFi/TheLoFi Master Album/cover.jpg
TheLoFi Collection	TheLoFi	Lo-Fi Hip-Hop	19	Maple Confession	Part I	138.0s	/workspace/distrokid/albums/thelofi/tracks/19 - Maple Confession (Part I).mp3 [OK]	Drive/LoFi Music Hub/TheLoFi/TheLoFi Master Album/tracks/19 - Maple Confession (Part I).mp3	Drive/LoFi Music Hub/TheLoFi/TheLoFi Master Album/cover.jpg
TheLoFi Collection	TheLoFi	Lo-Fi Hip-Hop	20	Maple Confession	Part II	142.6s	/workspace/distrokid/albums/thelofi/tracks/20 - Maple Confession (Part II).mp3 [OK]	Drive/LoFi Music Hub/TheLoFi/TheLoFi Master Album/tracks/20 - Maple Confession (Part II).mp3	Drive/LoFi Music Hub/TheLoFi/TheLoFi Master Album/cover.jpg
